candidate_uid,name,sex,ethnicity,dob
58,Mohd. Nazir bin Abdul Jalil,M,Malay,1909-xx-xx
59,Abdul Aziz bin Ishak,M,Malay,1915-10-07
60,Mohamed Rashid bin Ahmad,M,Malay,1914-xx-xx
61,Lee Eng Teh,M,Chinese,1909-xx-xx
62,Zulfikli Mohamed,M,Malay,1927-xx-xx
63,Atan Chik bin Lengkeng,M,Malay,1911-xx-xx
64,Mohd Idris bin Mat Sil,M,Malay,1913-xx-xx
65,Ujang bin Menuang,M,Malay,1901-xx-xx
66,Noordin bin Abdul Samad,M,Malay,1920-xx-xx
67,Abdul Jalil bin Aminudin,M,Malay,1903-xx-xx
68,Baba bin Ludek,M,Malay,1912-05-15
69,Lim Kee Siong,M,Chinese,1903-xx-xx
70,B. H. Tan,M,Chinese,1915-xx-xx
71,Mohamed Sulong bin Mohamed Ali,M,Malay,1908-xx-xx
72,Abdul Hamid bin Ma'Ajab,M,Malay,1900-xx-xx
73,Abdul Razak bin Hussein,M,Malay,1922-03-11
74,Mohamed Yasin bin Mohd Salleh,M,Malay,1905-xx-xx
75,Abdul Rahman bin Talib,M,Malay,1916-xx-xx
76,Sheik Kadir bin Sheik Omar,M,Malay,1925-xx-xx
77,Ismail bin Abdul Rahman,M,Malay,1915-11-04
78,Jaafar bin Ali,M,Malay,xxxx-xx-xx
79,Abdullah bin Taib,M,Malay,xxxx-xx-xx
80,Suleiman bin Abdul Rahman,M,Malay,1912-02-27
81,Onn bin Jaafar,M,Malay,1895-02-12
82,Tan Luan Hong,M,Chinese,xxxx-xx-xx
83,Kassim bin Awang Chik,M,Malay,xxxx-xx-xx
84,Teo Chze Chong,M,Chinese,xxxx-xx-xx
85,Anwar bin Abdul Malik,M,Malay,xxxx-xx-xx
86,S. Chelvasingam Macintyre,M,Indian,1903-xx-xx
87,Syed Abdul Kadir bin Mohamed,M,Malay,xxxx-xx-xx
88,Tan Suan Kok,M,Chinese,xxxx-xx-xx
89,Mahmud bin Mohd Shah,M,Malay,xxxx-xx-xx
90,Hassan bin Yunus,M,Malay,1907-xx-xx
91,Mohamed Nor bin A. Hamid,M,Malay,xxxx-xx-xx
92,Sardon bin Jubir,M,Malay,1917-03-19
93,Razali bin Abdul Manap,M,Malay,xxxx-xx-xx
94,Lee Thean Hin,M,Chinese,xxxx-xx-xx
95,Salim bin Mohd. Rejab,M,Malay,xxxx-xx-xx
96,Tunku Kassim Ibni Almarhom Sultan Abdul Hamid,M,Malay,1894-12-11
97,Rejab bin Darus,M,Malay,xxxx-xx-xx
98,Syed Ahmad bin Syed Mahmud Shahabudin,M,Malay,1925-05-04
99,Abdullah bin Abbas,M,Malay,xxxx-xx-xx
100,Laidin bin Abdul Manan,M,Malay,xxxx-xx-xx
101,Mohamed Khir bin Johari,M,Malay,1923-01-29
102,Puteh bin Napa,M,Malay,xxxx-xx-xx
103,Tunku Abdul Rahman Putra Al-Haj,M,Malay,1903-02-08
104,Syed Jan Aljeffri,M,Malay,1905-03-03
105,Lim Teng Kwang,M,Chinese,xxxx-xx-xx
106,M. Saleh bin Shafie,M,Malay,xxxx-xx-xx
107,Abdul Khalid bin Awang Osman,M,Malay,1925-06-04
108,Nik Ahmad Kamil bin Nik Mahmud,M,Malay,1909-07-07
109,Mohamed Noor bin Yusoff,M,Malay,1915-xx-xx
110,Nik Hassan bin Nik Yahya,M,Malay,1926-xx-xx
111,Nik Ahmed bin Nik Mahmood,M,Malay,xxxx-xx-xx
112,Mohammad Asri bin Muda,M,Malay,1923-10-10
113,Mohamed bin Ibrahim,M,Malay,1920-xx-xx
114,Tengku Ahmad bin Tengku Abdul Ghaffar,M,Malay,1908-xx-xx
115,Mokhtar bin Ahmed,M,Malay,1910-xx-xx
116,Tengku Indra Petra bin Sultan Ibrahim,M,Malay,1915-xx-xx
117,Nik Hussein bin Nik Zainal,M,Malay,1908-xx-xx
118,Abdul Hamid bin Mahmud,M,Malay,1910-xx-xx
119,Tengku Annuar Zainal bin Tengku Zainal Abidin,M,Malay,1926-xx-xx
120,Nik Mohamed bin Abdul Rahman,M,Malay,1913-xx-xx
121,Idris bin Mohamed,M,Malay,1915-xx-xx
122,Ibrahim Fikri bin Mohamed,M,Malay,xxxx-xx-xx
123,Mohd. Salleh bin Ahmad,M,Malay,xxxx-xx-xx
124,Engku Muhsein bin Abdul Kadir,M,Malay,xxxx-xx-xx
125,Sulaiman bin Ali,M,Malay,xxxx-xx-xx
126,Wan Yahya bin Wan Mohd,M,Malay,xxxx-xx-xx
127,Ibrahim bin Matnoh,M,Malay,xxxx-xx-xx
128,Sheikh Ahmad bin Mohd. Hashim,M,Malay,1897-12-26
129,Matt bin Kassim,M,Malay,1890-09-18
130,Othman bin Abdullah,M,Malay,xxxx-xx-xx
131,Abu Bakar bin Hamzah,M,Malay,1925-xx-xx
132,Abdul Rahman bin Osman,M,Malay,xxxx-xx-xx
133,Haji Mokhtar bin Haji Ismail,M,Malay,xxxx-xx-xx
134,Fatimah binti Hashim,F,Malay,1924-12-25
135,Husin bin Salleh,M,Malay,xxxx-xx-xx
136,Azahari bin Ibrahim,M,Malay,xxxx-xx-xx
137,Abdul Khalid,M,Malay,xxxx-xx-xx
138,Abu Bakar bin Omar,M,Malay,xxxx-xx-xx
139,Lim Joo Kong,M,Chinese,1912-xx-xx
140,Teoh Ah Thow,M,Chinese,xxxx-xx-xx
141,Malik Abdul Rahman,M,Malay,xxxx-xx-xx
142,Hassan bin Abdul Rahman,M,Malay,xxxx-xx-xx
143,Wan Sulaiman bin Wan Tam,M,Malay,xxxx-xx-xx
144,Othman bin Yunus,M,Malay,xxxx-xx-xx
145,Shariff Babul,M,Malay,xxxx-xx-xx
146,Hussin bin Che' Dol,M,Malay,1900-xx-xx
147,Ismail Yusof,M,Malay,xxxx-xx-xx
148,Mahmud bin Abdullah,M,Malay,1914-xx-xx
149,Wan Basor Ali bin Wan Salim,M,Malay,1911-12-21
150,Harun bin Abdullah,M,Malay,1919-xx-xx
151,Samad bin Osman,M,Malay,xxxx-xx-xx
152,Mansor bin Mohamad (Mansor Tobeng),M,Malay,1927-xx-xx
153,Khatib Shorbaini bin Hassan,M,Malay,1926-xx-xx
154,Hanafi bin Mohd Yunus,M,Malay,xxxx-xx-xx
155,Tan Tye Chek,M,Chinese,1917-xx-xx
156,Choong An Fong,M,Chinese,1911-xx-xx
157,Mahmood bin Juhan,M,Malay,xxxx-xx-xx
158,Che' Hassan bin Ahmad,M,Malay,xxxx-xx-xx
159,Hassan bin Yaacob,M,Malay,xxxx-xx-xx
160,Wan Mustapha bin Ali,M,Malay,xxxx-xx-xx
161,Nik Man bin Nik Mohamed,M,Malay,xxxx-xx-xx
162,Che' Omar bin Ali,M,Malay,xxxx-xx-xx
163,Nik Ismail bin Nik Hussin,M,Malay,xxxx-xx-xx
164,Ahmad,M,Malay,xxxx-xx-xx
165,Nik Min Ali,M,Malay,xxxx-xx-xx
166,Zulkiflee bin Muhammad,M,Malay,xxxx-xx-xx
167,Hussein Rahimi bin Saman,M,Malay,xxxx-xx-xx
168,Che' Ismail bin Ibrahim,M,Malay,xxxx-xx-xx
169,Raja Hanifah,M,Malay,xxxx-xx-xx
170,Yaacob bin Awang,M,Malay,xxxx-xx-xx
171,Mat Idris,M,Malay,xxxx-xx-xx
172,Othman bin Abdullah,M,Malay,xxxx-xx-xx
173,Azhari bin Abdul Rahman,M,Malay,xxxx-xx-xx
174,Yatim bin Shamsuddin,M,Malay,xxxx-xx-xx
175,Amaluddin bin Darus,M,Malay,xxxx-xx-xx
176,Burhanuddin bin Mohd. Noor,M,Malay,1911-xx-xx
177,Husain bin Abdullah,M,Malay,1929-xx-xx
178,Wan Abdul Kadir bin Ismail,M,Malay,1929-xx-xx
179,Ibrahim bin Abdul Kadir,M,Malay,xxxx-xx-xx
180,Wan Salleh bin Abdul Kadir,M,Malay,xxxx-xx-xx
181,Mohamed Adib bin Omar,M,Malay,1930-xx-xx
182,Khadijah binti Mohd. Sidek,F,Malay,1918-xx-xx
183,Ismail bin Kassim,M,Malay,1918-xx-xx
184,Engku Sayed Mohsin bin Z' Abidin,M,Malay,1934-xx-xx
185,Setia bin Abu Bakar,M,Malay,1921-xx-xx
186,Harun bin Pilus,M,Malay,xxxx-xx-xx
187,Abdullah bin Abass,M,Malay,1921-xx-xx
188,Wee Tiong Ghee,M,Chinese,1917-xx-xx
189,Oon Beng Hong,F,Chinese,1903-xx-xx
190,Tan Cheng Bee,M,Chinese,1909-xx-xx
191,Peritam Singh,M,Other,1935-xx-xx
192,Abdul Hamid bin Ishak,M,Malay,1908-xx-xx
193,Kang Eng Wah,M,Chinese,1925-xx-xx
194,Ibrahim bin Abdul Rahman,M,Malay,1919-xx-xx
195,Veerappen A/L Veerathan,M,Indian,1924-xx-xx
196,Jais bin Sudin,M,Malay,1898-xx-xx
197,Geh Chong Keat,M,Chinese,1923-xx-xx
198,Shaik Ahmed bin Shaik Mohamed,M,Malay,1909-xx-xx
199,Lau Teik Hai,M,Chinese,1929-xx-xx
200,Omar bin Long,M,Malay,1923-xx-xx
201,Mansor bin Sanusi,M,Malay,1919-xx-xx
202,David Sabapthy Ramanathan,M,Indian,1908-12-23
203,Ismail bin Idris,M,Malay,1920-xx-xx
204,Khoo Yat See,M,Chinese,1911-xx-xx
205,Goh Guan Ho,M,Chinese,1891-xx-xx
206,Tan Phock Kin,M,Chinese,1923-xx-xx
207,Lee Thean-Chu,M,Chinese,1911-xx-xx
208,Lim Kean Siew,M,Chinese,1922-06-05
209,C. M. Ramli,M,Malay,1910-xx-xx
210,Yusof bin Abdullah Ar-Rawi (Yusof Rawa),M,Malay,1922-05-08
211,Ahmad bin Saaid,M,Malay,1917-xx-xx
212,Md. Nor bin Md. Dahan,M,Malay,1925-xx-xx
213,Tan Kim Seng,M,Chinese,1924-xx-xx
214,Abdul Samad bin Mohammad Noh,M,Malay,1916-xx-xx
215,Tajudin bin Ali,M,Malay,1922-xx-xx
216,Ibrahim bin Alla Ditta,M,Malay,1914-xx-xx
217,Abdul Rauf bin Abdul Rahman,M,Malay,1897-xx-xx
218,Ahmad bin Yusof,M,Malay,1919-xx-xx
219,Lim Swee Aun,M,Chinese,1915-xx-xx
220,Yin Choo Han,M,Chinese,xxxx-xx-xx
221,Mohd. Yunus bin Mohd. Hashim,M,Malay,1900-xx-xx
222,Mohd. Abbas bin Ahmad,M,Malay,1911-xx-xx
223,Abu Bakar bin Anjang Wahid,M,Malay,1914-xx-xx
224,Abdullah bin Abdul Raof,M,Malay,1908-xx-xx
225,Syed Nordin bin Syed Husein,M,Malay,1906-xx-xx
226,Omar bin Nordin,M,Malay,1927-xx-xx
227,Annamalai A/L Kasivisvanathan,M,Indian,1928-xx-xx
228,Choy Kok Kuan,M,Chinese,1917-xx-xx
229,Hussein bin Mohd. Noordin,M,Malay,1920-xx-xx
230,Osman bin Bodin,M,Malay,1905-xx-xx
231,Yeoh Tat Beng,M,Chinese,1914-xx-xx
232,Mohd. Noor bin Mohammed,M,Malay,1914-xx-xx
233,Raman A/L Kunji Raman,M,Indian,xxxx-xx-xx
234,Yong Woo Ming,M,Chinese,1912-xx-xx
235,Hor Huck Lung,M,Chinese,1918-xx-xx
236,Chang Hoey Chan,M,Chinese,1906-xx-xx
237,Yuen Foo Tong,M,Chinese,1934-xx-xx
238,Sri Padhmaraja Seenivasagam,M,Indian,1918-xx-xx
239,Wong Kok Weng,M,Chinese,1915-xx-xx
240,Chan Swee Ho,M,Chinese,1929-xx-xx
241,Chan Kok Cheong,M,Chinese,1929-xx-xx
242,Yau Hoong Seh,M,Chinese,1934-xx-xx
243,Khong Kok Yat,M,Chinese,1930-xx-xx
244,Yeoh Kian Teik,M,Chinese,1925-xx-xx
245,Thean Moi Tuck,M,Chinese,1923-xx-xx
246,Leong Kee Nyean,M,Chinese,1927-xx-xx
247,Chan Yoon Onn,M,Chinese,1920-xx-xx
248,Othman bin Mohamed Akib,M,Malay,1910-xx-xx
249,Lee Seck Fun,M,Chinese,1926-xx-xx
250,Ramanathan Chelvarayan Mannavarayan,M,Indian,1909-xx-xx
251,Woo Saik Hong,M,Chinese,1909-xx-xx
252,Tan Poh Aun,M,Chinese,1904-xx-xx
253,Yahya bin Haji Ahmad,M,Malay,1918-xx-xx
254,Azubir bin Ahmad,M,Malay,1904-xx-xx
255,Mohd. Yunus bin Sibi,M,Malay,1904-xx-xx
256,Jaya Ramachandran A/L Suppiah,M,Indian,1935-xx-xx
257,Hashim bin Mahaboob,M,Malay,1902-xx-xx
258,Hussein bin Hassan,M,Malay,xxxx-xx-xx
259,Abu Bakar bin Mohamed Resat,M,Malay,xxxx-xx-xx
260,Lim Ong Hang,M,Chinese,1937-xx-xx
261,Chan Siang Sun,M,Chinese,xxxx-xx-xx
262,Hamzah bin Dahaman,M,Malay,xxxx-xx-xx
263,Mohamed Ariff bin Abas,M,Malay,xxxx-xx-xx
264,Mohamed Yusof bin Mahmud,M,Malay,xxxx-xx-xx
265,Ishak bin Haji Mohammad,M,Malay,1909-11-14
266,Abdul Hamid bin Abdullah,M,Malay,xxxx-xx-xx
267,N. Manickam,M,Indian,xxxx-xx-xx
268,Dahari Ali,M,Malay,1922-xx-xx
269,Abdullah bin Mat Junan,M,Malay,1919-xx-xx
270,Ng Ann Teck,M,Chinese,1931-xx-xx
271,Lim Hee Hong,M,Chinese,1901-xx-xx
272,Hamzah Alang,M,Malay,1914-xx-xx
273,Ibrahim bin Haji Nordin,M,Malay,xxxx-xx-xx
274,R. Madhavan,M,Indian,xxxx-xx-xx
275,Abdul Karim bin Kasim,M,Malay,xxxx-xx-xx
276,Borhan bin Abdul Majid,M,Malay,xxxx-xx-xx
277,Liu Yoong Peng,M,Chinese,xxxx-xx-xx
278,Zakaria bin Mohd. Taib,M,Malay,xxxx-xx-xx
279,Koh Pak Ngee,M,Chinese,xxxx-xx-xx
280,Ahmad Boestamam,M,Malay,1920-11-30
281,Yap Kim Swee,M,Chinese,xxxx-xx-xx
282,Aishah Ghani,F,Malay,1923-12-15
283,Ong Yeow Kay,M,Chinese,xxxx-xx-xx
284,David S. Vethamuthu (V. David),M,Indian,1932-08-26
285,Koh Pooi Kee,M,Chinese,xxxx-xx-xx
286,Law Joo Kooi,M,Chinese,xxxx-xx-xx
287,Heng Cheng Swee,M,Chinese,1916-xx-xx
288,Robert K. C. Hoh,M,Chinese,xxxx-xx-xx
289,Nazar bin Mohammad Nong,M,Malay,1928-xx-xx
290,Cheah Theam Swee,M,Chinese,xxxx-xx-xx
291,K. Karam Singh,M,Other,1936-xx-xx
292,V. Manickavasagam Pillai,M,Indian,1926-10-04
293,S. S. Nayagam,M,Indian,1915-xx-xx
294,Syed Ibrahim bin Syed Salim,M,Malay,1909-xx-xx
295,Lim Tuan Siong,M,Chinese,xxxx-xx-xx
296,K. V. Nadarajah,M,Indian,1913-xx-xx
297,Lee Siok Yew,M,Chinese,1917-xx-xx
298,Syed Hashim bin Syed Ajam,M,Malay,1904-xx-xx
299,Abd. Hakim Hilmi,M,Malay,xxxx-xx-xx
300,Chai Yoke Kin,M,Chinese,xxxx-xx-xx
301,Ismail bin Chik,M,Malay,1919-xx-xx
302,Robert Singam,M,Indian,xxxx-xx-xx
303,Chin See Yin,M,Chinese,xxxx-xx-xx
304,Md. Nor bin Ab. Hamid,M,Malay,xxxx-xx-xx
305,Tham Tat Ming,M,Chinese,xxxx-xx-xx
306,Redza bin Mohd. Said,M,Malay,1911-xx-xx
307,Mahima Singh Thaliwal A/L Karam Singh,M,Other,1906-xx-xx
308,Ahmad bin Yaacob,M,Malay,xxxx-xx-xx
309,Mohamed bin Ujang,M,Malay,xxxx-xx-xx
310,Chellappah Rajadurai,M,Indian,xxxx-xx-xx
311,Sathappan Sathappan,M,Indian,xxxx-xx-xx
312,P. A. R. S. Dawood,M,Indian,xxxx-xx-xx
313,Quek Kai Dong,M,Chinese,xxxx-xx-xx
314,Abd. Majid bin Hussin,M,Malay,1906-xx-xx
315,Tan Kee Gak,M,Chinese,1922-xx-xx
316,Wong Koon Yoon,M,Chinese,1904-xx-xx
317,Yeoh Ho Huat,M,Chinese,1917-xx-xx
318,Karim bin Dalib,M,Malay,1921-xx-xx
319,Abdul Ghani bin Ishak,M,Malay,1924-xx-xx
320,Hassan bin Mansor,M,Malay,xxxx-xx-xx
321,Chung Cheng Wen,M,Chinese,1932-03-29
322,Mohamed Taha bin Kallu,M,Malay,1919-xx-xx
323,Aziz bin Ishak,M,Malay,xxxx-xx-xx
324,Ahmad bin Abu,M,Malay,xxxx-xx-xx
325,Lim Chin Khean,M,Chinese,xxxx-xx-xx
326,Seah Teng Ngiab,M,Chinese,xxxx-xx-xx
327,Tan Kwee Wah,M,Chinese,xxxx-xx-xx
328,Chua Ang Teck,M,Chinese,xxxx-xx-xx
329,Raja Hashim bin Haji Mahmood,M,Malay,xxxx-xx-xx
330,Mohamed Tahir bin Daeng Mengati,M,Malay,1921-xx-xx
331,Koh Kim Boon,M,Chinese,xxxx-xx-xx
332,Kang Kok Seng,M,Chinese,xxxx-xx-xx
333,Abdullah bin Othman,M,Malay,xxxx-xx-xx
334,Daud bin Abdul Hamid,M,Malay,xxxx-xx-xx
335,Syed Esa bin Alwee,M,Malay,1901-10-23
336,Lee San Choon,M,Chinese,1935-03-24
337,Wee Lee Fong,M,Chinese,1920-xx-xx
338,Syed Jaafar bin Hassan Albar,M,Malay,1914-08-21
339,Abdul Jamil bin Sulaiman,M,Malay,xxxx-xx-xx
340,Garieb bin Abdul Raouf,M,Malay,xxxx-xx-xx
341,Lee Ah Leng,M,Chinese,1919-xx-xx
342,Zainon binti Munshi Sulaiman,F,Malay,1903-01-22
343,Tan Kai Hee,M,Chinese,1937-01-08
344,Chan Chong Wen,M,Chinese,xxxx-xx-xx
345,Chu Choon Yong,M,Chinese,xxxx-xx-xx
346,Mohamed Noah bin Omar,M,Malay,1897-08-13
347,Zahid bin Abdul Karim,M,Malay,1917-xx-xx
348,Ahmad bin Mohamed Shah,M,Malay,xxxx-xx-xx
349,Ismail bin Ariff,M,Malay,xxxx-xx-xx
350,Abdullah bin Mohd. Salleh,M,Malay,xxxx-xx-xx
351,Syed Mohammad bin Abdullah Al-Khard,M,Malay,xxxx-xx-xx
352,Henry Lim Meng See,M,Chinese,xxxx-xx-xx
353,Ahmad bin Arshad,M,Malay,xxxx-xx-xx
354,Nasir bin Abdullah,M,Malay,xxxx-xx-xx
355,Yacob bin Mohamed,M,Malay,xxxx-xx-xx
356,Loh Ah Tong,M,Chinese,1904-xx-xx
357,Abdullah bin Ahmad,M,Malay,xxxx-xx-xx
358,Wan Ahmad bin Wan Daud,M,Malay,1890-xx-xx
359,Shaikh Ali Ba Junid,M,Malay,xxxx-xx-xx
360,Mahayuddin bin Dato' Habib,M,Malay,xxxx-xx-xx
361,Wan Khadzim bin Wan Din,M,Malay,1933-xx-xx
362,Por Swee Giap,M,Chinese,xxxx-xx-xx
363,Mat bin Md. Isa,M,Malay,xxxx-xx-xx
364,Wan Ahmad bin Haji Wan Kassim,M,Malay,xxxx-xx-xx
365,Shafii bin Omar,M,Malay,xxxx-xx-xx
366,Ibrahim bin Yasin,M,Malay,xxxx-xx-xx
367,Tengku Adnan bin Tengku Yahya,M,Malay,xxxx-xx-xx
368,Ahmad bin Salleh,M,Malay,xxxx-xx-xx
369,Syed Darus bin Syed Hashim,M,Malay,xxxx-xx-xx
370,Haji Keria bin Wan Nik,M,Malay,xxxx-xx-xx
371,Abu Bakar bin Haji Awang,M,Malay,xxxx-xx-xx
372,Zakaria bin Ishak,M,Malay,xxxx-xx-xx
373,Omar bin Mohamed Said,M,Malay,xxxx-xx-xx
374,Yusoff bin Abu Bakar,M,Malay,xxxx-xx-xx
375,Ahmad bin Musa,M,Malay,xxxx-xx-xx
376,Lebai Adnan bin Abdullah,M,Malay,xxxx-xx-xx
377,Isa bin Mahamad,M,Malay,xxxx-xx-xx
378,Omar bin Salleh,M,Malay,1910-xx-xx
379,Ibrahim bin Hashim,M,Malay,xxxx-xx-xx
380,Shaari bin Hamzah,M,Malay,xxxx-xx-xx
381,Yahaya bin Abd. Jalil,M,Malay,xxxx-xx-xx
382,Ahmad bin Osman,M,Malay,xxxx-xx-xx
383,Mustafa bin Ahmad,M,Malay,xxxx-xx-xx
384,Omar bin Ahmad,M,Malay,xxxx-xx-xx
385,Abu Bakar bin Umar,M,Malay,1927-01-13
386,Johari bin Salleh,M,Malay,xxxx-xx-xx
387,Abd. Majid bin Abd. Rahman,M,Malay,xxxx-xx-xx
388,Ng Hore Jin,M,Chinese,xxxx-xx-xx
389,Shaik Osman bin Ibrahim,M,Malay,xxxx-xx-xx
390,Laidin bin Abd. Manan,M,Malay,xxxx-xx-xx
391,Jais bin Anuar,M,Malay,xxxx-xx-xx
392,Cheah Toon Lok,M,Chinese,1897-xx-xx
393,K. Karunakaran Nair,M,Indian,xxxx-xx-xx
394,Tunku Burhanudin bin Tunku Yahya,M,Malay,xxxx-xx-xx
395,Abdullah bin Jusoh,M,Malay,xxxx-xx-xx
396,Hanafi bin Ahmad,M,Malay,xxxx-xx-xx
397,Ismail bin Ibrahim,M,Malay,1907-xx-xx
398,Mohd. Isa bin Mohamed,M,Malay,xxxx-xx-xx
399,Mak Guan Pin,M,Chinese,xxxx-xx-xx
400,Ismail bin Ya'acob,M,Malay,xxxx-xx-xx
401,Ali bin Ismail,M,Malay,xxxx-xx-xx
402,Rejab bin Darus,M,Malay,xxxx-xx-xx
403,Hashim bin Abdullah,M,Malay,xxxx-xx-xx
404,Syed Ibrahim bin Syed Kechik,M,Malay,xxxx-xx-xx
405,Azizan bin Johari,M,Malay,xxxx-xx-xx
406,Yahaya bin Junid,M,Malay,1911-10-03
407,Hamidah binti Omar,F,Malay,xxxx-xx-xx
408,Mohamed Zahir bin Ismail,M,Malay,xxxx-xx-xx
409,Abu Hashim bin Abdullah,M,Malay,xxxx-xx-xx
410,Abd. Hamid bin Ibrahim,M,Malay,xxxx-xx-xx
411,Arshad bin Ismail,M,Malay,1919-xx-xx
412,Nyak Gam bin Nyak Abdullah,M,Malay,xxxx-xx-xx
413,Nawawi bin Abd. Rahman,M,Malay,xxxx-xx-xx
414,Shafie bin Abdullah,M,Malay,1929-07-06
415,Hassan bin Abdul Rasheed,M,Malay,xxxx-xx-xx
416,Syed Omar bin Syed Abdullah Shahabudin,M,Malay,1902-07-06
417,Ahmad bin Abdul Rahman,M,Malay,xxxx-xx-xx
418,Osman bin Darus,M,Malay,xxxx-xx-xx
419,Chin Chin Cheang,M,Chinese,xxxx-xx-xx
420,Azahari bin Md. Taib,M,Malay,1924-xx-xx
421,C. A. D'Cruz,M,Other,xxxx-xx-xx
422,Yasin bin Ibrahim,M,Malay,xxxx-xx-xx
423,Harun bin Rased,M,Malay,xxxx-xx-xx
424,Mohd Romli bin Abdullah,M,Malay,xxxx-xx-xx
425,Soon Cheng Leong,M,Chinese,xxxx-xx-xx
426,Tai Kuan Yang,M,Chinese,xxxx-xx-xx
427,Zainuddin bin Din,M,Malay,1922-xx-xx
428,Ghazali bin Haji Mohamad,M,Malay,xxxx-xx-xx
429,Daud bin Yusof,M,Malay,1920-xx-xx
430,Othman bin Mohd. Uddin,M,Malay,xxxx-xx-xx
431,Ibrahim Tunggal,M,Malay,xxxx-xx-xx
432,Mustapha Awang,M,Malay,xxxx-xx-xx
433,Foo Chow Yong,M,Chinese,1930-xx-xx
434,Yahya bin Abdullah,M,Malay,xxxx-xx-xx
435,C. W. Sook,M,Chinese,xxxx-xx-xx
436,Ishak bin Mustapha,M,Malay,xxxx-xx-xx
437,Wan Idris,M,Malay,xxxx-xx-xx
438,Abdul Karim bin Abdul Malek,M,Malay,xxxx-xx-xx
439,Nik Hassan bin Nik Hussain,M,Malay,xxxx-xx-xx
440,Wan Yusoff bin Wan Ya'acob,M,Malay,xxxx-xx-xx
441,Wan Dollah,M,Malay,xxxx-xx-xx
442,Abdullah bin Ahmad,M,Malay,xxxx-xx-xx
443,Halimah binti Idris,F,Malay,xxxx-xx-xx
