slug,date,from,to,type
p055-lenggong-perak,1958-09-22,,,
p056-larut-perak,1958-09-22,,,
p057-parit-buntar-perak,1958-09-22,,,
p058-bagan-serai-perak,1958-09-22,,,
p059-bukit-gantang-perak,1958-09-22,,,
p060-taiping-perak,1958-09-22,,,
p061-padang-rengas-perak,1958-09-22,,,
p062-sungai-siput-perak,1958-09-22,,,
p063-tambun-perak,1958-09-22,,,
p064-ipoh-timor-perak,1958-09-22,,,
p065-ipoh-barat-perak,1958-09-22,,,
p066-batu-gajah-perak,1958-09-22,,,
p067-kuala-kangsar-perak,1958-09-22,,,
p068-beruas-perak,1958-09-22,,,
p069-parit-perak,1958-09-22,,,
p070-kampar-perak,1958-09-22,,,
p071-gopeng-perak,1958-09-22,,,
p072-tapah-perak,1958-09-22,,,
p073-pasir-salak-perak,1958-09-22,,,
p074-lumut-perak,1958-09-22,,,
p075-bagan-datuk-perak,1958-09-22,,,
p076-teluk-intan-perak,1958-09-22,,,
p077-tanjong-malim-perak,1958-09-22,,,
p078-cameron-highlands-pahang,1958-09-22,,,
p079-lipis-pahang,1958-09-22,,,
p080-raub-pahang,1958-09-22,,,
p081-jerantut-pahang,1958-09-22,,,
p082-indera-mahkota-pahang,1958-09-22,,,
p083-kuantan-pahang,1958-09-22,,,
p084-paya-besar-pahang,1958-09-22,,,
p085-pekan-pahang,1958-09-22,,,
p086-maran-pahang,1958-09-22,,,
p087-kuala-krau-pahang,1958-09-22,,,
p088-temerloh-pahang,1958-09-22,,,
p089-bentong-pahang,1958-09-22,,,
p090-bera-pahang,1958-09-22,,,
p091-rompin-pahang,1958-09-22,,,
p092-sabak-bernam-selangor,1958-09-22,,,
p093-sungai-besar-selangor,1958-09-22,,,
p094-hulu-selangor-selangor,1958-09-22,,,
p095-tanjong-karang-selangor,1958-09-22,,,
p096-kuala-selangor-selangor,1958-09-22,,,
p097-selayang-selangor,1958-09-22,,,
p098-gombak-selangor,1958-09-22,,,
p099-ampang-selangor,1958-09-22,,,
p100-pandan-selangor,1958-09-22,,,
p101-hulu-langat-selangor,1958-09-22,,,
p102-bangi-selangor,1958-09-22,,,
p103-puchong-selangor,1958-09-22,,,
p104-subang-selangor,1958-09-22,,,
p105-petaling-jaya-selangor,1958-09-22,,,
p106-damansara-selangor,1958-09-22,,,
p107-sungai-buloh-selangor,1958-09-22,,,
p108-shah-alam-selangor,1958-09-22,,,
p109-kapar-selangor,1958-09-22,,,
p110-klang-selangor,1958-09-22,,,
p111-kota-raja-selangor,1958-09-22,,,
p112-kuala-langat-selangor,1958-09-22,,,
p113-sepang-selangor,1958-09-22,,,
p114-kepong-wp-kuala-lumpur,1958-09-22,Kuala Lumpur Barat,Batu and Bungsar,split
p114-kepong-wp-kuala-lumpur,1974-01-01,Batu,Kepong and Selayang,split
p115-batu-wp-kuala-lumpur,1958-09-22,,,
p116-wangsa-maju-wp-kuala-lumpur,1958-09-22,,,
p117-segambut-wp-kuala-lumpur,1958-09-22,,,
p118-setiawangsa-wp-kuala-lumpur,1958-09-22,,,
p119-titiwangsa-wp-kuala-lumpur,1958-09-22,,,
p120-bukit-bintang-wp-kuala-lumpur,1958-09-22,,,
p121-lembah-pantai-wp-kuala-lumpur,1958-09-22,Kuala Lumpur Barat,Batu and Bungsar,split
p121-lembah-pantai-wp-kuala-lumpur,1974-01-01,Bungsar,Damansara,rename
p121-lembah-pantai-wp-kuala-lumpur,1984-01-01,Damansara,Lembah Pantai and Seputeh,split
p122-seputeh-wp-kuala-lumpur,1958-09-22,Kuala Lumpur Barat,Batu and Bungsar,split
p122-seputeh-wp-kuala-lumpur,1974-01-01,Bungsar,Damansara,rename
p122-seputeh-wp-kuala-lumpur,1984-01-01,Damansara,Lembah Pantai and Seputeh,split
p123-cheras-wp-kuala-lumpur,1958-09-22,,,
p124-bandar-tun-razak-wp-kuala-lumpur,1958-09-22,,,
p125-putrajaya-wp-putrajaya,1958-09-22,Langat,Langat and Sepang,split
p125-putrajaya-wp-putrajaya,2001-01-01,Sepang,Sepang and Putrajaya,split
p126-jelebu-negeri-sembilan,1958-09-22,,,
p127-jempol-negeri-sembilan,1958-09-22,,,
p128-seremban-negeri-sembilan,1958-09-22,,,
p129-kuala-pilah-negeri-sembilan,1958-09-22,,,
p130-rasah-negeri-sembilan,1958-09-22,,,
p131-rembau-negeri-sembilan,1958-09-22,,,
p132-port-dickson-negeri-sembilan,1958-09-22,,,
p133-tampin-negeri-sembilan,1958-09-22,,,
p134-masjid-tanah-melaka,1958-09-22,,,
p135-alor-gajah-melaka,1958-09-22,,,
p136-tangga-batu-melaka,1958-09-22,,,
p137-hang-tuah-jaya-melaka,1958-09-22,,,
p138-kota-melaka-melaka,1958-09-22,Malacca Central,Malacca Tengah and Bandar Malacca,split
p138-kota-melaka-melaka,1974-01-01,Bandar Malacca,Kota Melaka,rename
p139-jasin-melaka,1958-09-22,,,
p140-segamat-johor,1958-09-22,,,
p141-sekijang-johor,1958-09-22,,,
p142-labis-johor,1958-09-22,,,
p143-pagoh-johor,1958-09-22,,,
p144-ledang-johor,1958-09-22,,,
p145-bakri-johor,1958-09-22,,,
p146-muar-johor,1958-09-22,,,
p147-parit-sulong-johor,1958-09-22,,,
p148-ayer-hitam-johor,1958-09-22,,,
p149-sri-gading-johor,1958-09-22,,,
p150-batu-pahat-johor,1958-09-22,,,
p151-simpang-renggam-johor,1958-09-22,,,
p152-kluang-johor,1958-09-22,,,
p153-sembrong-johor,1958-09-22,,,
p154-mersing-johor,1958-09-22,,,
p155-tenggara-johor,1958-09-22,,,
p156-kota-tinggi-johor,1958-09-22,,,
p157-pengerang-johor,1958-09-22,,,
p158-tebrau-johor,1958-09-22,,,
p159-pasir-gudang-johor,1958-09-22,,,
p160-johor-bahru-johor,1958-09-22,,,
p161-pulai-johor,1958-09-22,Johore Bahru,Johore Bahru Barat and Johore Bahru Timur,split
p161-pulai-johor,1974-01-01,Johore Bahru Barat,Pulai,rename
p162-iskandar-puteri-johor,1958-09-22,,,
p163-kulai-johor,1958-09-22,,,
p164-pontian-johor,1958-09-22,,,
p165-tanjung-piai-johor,1958-09-22,,,
p166-labuan-wp-labuan,1974-01-01,Labuan-Beaufort,Hilir Padas,rename
p166-labuan-wp-labuan,1984-01-01,Hilir Padas,Limbawang and Labuan,split
p167-kudat-sabah,1958-09-22,,,
p168-kota-marudu-sabah,1958-09-22,,,
p169-kota-belud-sabah,1958-09-22,,,
p170-tuaran-sabah,1958-09-22,,,
p171-sepanggar-sabah,1958-09-22,,,
p172-kota-kinabalu-sabah,1958-09-22,,,
p173-putatan-sabah,1958-09-22,,,
p174-penampang-sabah,1958-09-22,,,
p175-papar-sabah,1958-09-22,,,
p176-kimanis-sabah,1958-09-22,,,
p177-beaufort-sabah,1958-09-22,,,
p178-sipitang-sabah,1958-09-22,,,
p179-ranau-sabah,1958-09-22,,,
p180-keningau-sabah,1958-09-22,,,
p181-tenom-sabah,1958-09-22,,,
p182-pensiangan-sabah,1958-09-22,,,
p183-beluran-sabah,1958-09-22,,,
p184-libaran-sabah,1958-09-22,,,
p185-batu-sapi-sabah,1958-09-22,,,
p186-sandakan-sabah,1958-09-22,,,
p187-kinabatangan-sabah,1958-09-22,,,
p188-lahad-datu-sabah,1958-09-22,,,
p189-semporna-sabah,1958-09-22,,,
p190-tawau-sabah,1958-09-22,,,
p191-kalabakan-sabah,1958-09-22,,,
p192-mas-gading-sarawak,1958-09-22,,,
p193-santubong-sarawak,1958-09-22,,,
p194-petra-jaya-sarawak,1958-09-22,,,
p195-bandar-kuching-sarawak,1958-09-22,,,
p196-stampin-sarawak,1958-09-22,,,
p197-kota-samarahan-sarawak,1958-09-22,,,
p198-puncak-borneo-sarawak,1958-09-22,,,
p199-serian-sarawak,1958-09-22,,,
p200-batang-sadong-sarawak,1958-09-22,,,
p201-batang-lupar-sarawak,1958-09-22,,,
p202-sri-aman-sarawak,1958-09-22,,,
p203-lubok-antu-sarawak,1958-09-22,,,
p204-betong-sarawak,1958-09-22,,,
p205-saratok-sarawak,1958-09-22,,,
p206-tanjong-manis-sarawak,1958-09-22,,,
p207-igan-sarawak,1958-09-22,,,
p208-sarikei-sarawak,1958-09-22,,,
p209-julau-sarawak,1958-09-22,,,
p210-kanowit-sarawak,1958-09-22,,,
p211-lanang-sarawak,1958-09-22,,,
p212-sibu-sarawak,1958-09-22,,,
p213-mukah-sarawak,1958-09-22,,,
p214-selangau-sarawak,1958-09-22,,,
p215-kapit-sarawak,1958-09-22,,,
p216-hulu-rajang-sarawak,1958-09-22,,,
p217-bintulu-sarawak,1958-09-22,,,
p218-sibuti-sarawak,1958-09-22,,,
p219-miri-sarawak,1958-09-22,,,
p220-baram-sarawak,1958-09-22,,,
p221-limbang-sarawak,1958-09-22,,,
p222-lawas-sarawak,1958-09-22,,,
n01-buloh-kasap-johor,,,,
n02-jementah-johor,,,,
n03-pemanis-johor,,,,
n04-kemelah-johor,,,,
n05-tenang-johor,,,,
n06-bekok-johor,,,,
n07-bukit-kepong-johor,,,,
n08-bukit-pasir-johor,,,,
n09-gambir-johor,,,,
n10-tangkak-johor,,,,
n11-serom-johor,,,,
n12-bentayan-johor,,,,
n13-simpang-jeram-johor,,,,
n14-bukit-naning-johor,,,,
n15-maharani-johor,,,,
n16-sungai-balang-johor,,,,
n17-semerah-johor,,,,
n18-sri-medan-johor,,,,
n19-yong-peng-johor,,,,
n20-semarang-johor,,,,
n21-parit-yaani-johor,,,,
n22-parit-raja-johor,,,,
n23-penggaram-johor,,,,
n24-senggarang-johor,,,,
n25-rengit-johor,,,,
n26-machap-johor,,,,
n27-layanglayang-johor,,,,
n28-mengkibol-johor,,,,
n29-mahkota-johor,,,,
n30-paloh-johor,,,,
n31-kahang-johor,,,,
n32-endau-johor,,,,
n33-tenggaroh-johor,,,,
n34-panti-johor,,,,
n35-pasir-raja-johor,,,,
n36-sedili-johor,,,,
n37-johor-lama-johor,,,,
n38-penawar-johor,,,,
n39-tanjung-surat-johor,,,,
n40-tiram-johor,,,,
n41-puteri-wangsa-johor,,,,
n42-johor-jaya-johor,,,,
n43-permas-johor,,,,
n44-larkin-johor,,,,
n45-stulang-johor,,,,
n46-perling-johor,,,,
n47-kempas-johor,,,,
n48-skudai-johor,,,,
n49-kota-iskandar-johor,,,,
n50-bukit-permai-johor,,,,
n51-bukit-batu-johor,,,,
n52-senai-johor,,,,
n53-benut-johor,,,,
n54-pulai-sebatang-johor,,,,
n55-pekan-nanas-johor,,,,
n56-kukup-johor,,,,
n01-ayer-hangat-kedah,,,,
n02-kuah-kedah,,,,
n03-kota-siputeh-kedah,,,,
n04-ayer-hitam-kedah,,,,
n05-bukit-kayu-hitam-kedah,,,,
n06-jitra-kedah,,,,
n07-kuala-nerang-kedah,,,,
n08-pedu-kedah,,,,
n09-bukit-lada-kedah,,,,
n10-bukit-pinang-kedah,,,,
n11-derga-kedah,,,,
n12-suka-menanti-kedah,,,,
n13-kota-darul-aman-kedah,,,,
n14-alor-mengkudu-kedah,,,,
n15-anak-bukit-kedah,,,,
n16-kubang-rotan-kedah,,,,
n17-pengkalan-kundor-kedah,,,,
n18-tokai-kedah,,,,
n19-sungai-tiang-kedah,,,,
n20-sungai-limau-kedah,,,,
n21-guar-chempedak-kedah,,,,
n22-gurun-kedah,,,,
n23-belantek-kedah,,,,
n24-jeneri-kedah,,,,
n25-bukit-selambau-kedah,,,,
n26-tanjong-dawai-kedah,,,,
n27-pantai-merdeka-kedah,,,,
n28-bakar-arang-kedah,,,,
n29-sidam-kedah,,,,
n30-bayu-kedah,,,,
n31-kupang-kedah,,,,
n32-kuala-ketil-kedah,,,,
n33-merbau-pulas-kedah,,,,
n34-lunas-kedah,,,,
n35-kulim-kedah,,,,
n36-bandar-baharu-kedah,,,,
n01-pengkalan-kubor-kelantan,,,,
n02-kelaboran-kelantan,,,,
n03-pasir-pekan-kelantan,,,,
n04-wakaf-bharu-kelantan,,,,
n05-kijang-kelantan,,,,
n06-chempaka-kelantan,,,,
n07-panchor-kelantan,,,,
n08-tanjong-mas-kelantan,,,,
n09-kota-lama-kelantan,,,,
n10-bunut-payong-kelantan,,,,
n11-tendong-kelantan,,,,
n12-pengkalan-pasir-kelantan,,,,
n13-meranti-kelantan,,,,
n14-chetok-kelantan,,,,
n15-gual-periok-kelantan,,,,
n16-apam-putra-kelantan,,,,
n17-salor-kelantan,,,,
n18-pasir-tumboh-kelantan,,,,
n19-demit-kelantan,,,,
n20-tawang-kelantan,,,,
n21-pantai-irama-kelantan,,,,
n22-jelawat-kelantan,,,,
n23-melor-kelantan,,,,
n24-kadok-kelantan,,,,
n25-kok-lanas-kelantan,,,,
n26-bukit-panau-kelantan,,,,
n27-gual-ipoh-kelantan,,,,
n28-kemahang-kelantan,,,,
n29-selising-kelantan,,,,
n30-limbongan-kelantan,,,,
n31-semerak-kelantan,,,,
n32-gaal-kelantan,,,,
n33-pulai-chondong-kelantan,,,,
n34-temangan-kelantan,,,,
n35-kemuning-kelantan,,,,
n36-bukit-bunga-kelantan,,,,
n37-air-lanas-kelantan,,,,
n38-kuala-balah-kelantan,,,,
n39-mengkebang-kelantan,,,,
n40-guchil-kelantan,,,,
n41-manek-urai-kelantan,,,,
n42-dabong-kelantan,,,,
n43-nenggiri-kelantan,,,,
n44-paloh-kelantan,,,,
n45-galas-kelantan,,,,
n01-kuala-linggi-melaka,,,,
n02-tanjung-bidara-melaka,,,,
n03-ayer-limau-melaka,,,,
n04-lendu-melaka,,,,
n05-taboh-naning-melaka,,,,
n06-rembia-melaka,,,,
n07-gadek-melaka,,,,
n08-machap-jaya-melaka,,,,
n09-durian-tunggal-melaka,,,,
n10-asahan-melaka,,,,
n11-sungai-udang-melaka,,,,
n12-pantai-kundor-melaka,,,,
n13-paya-rumput-melaka,,,,
n14-kelebang-melaka,,,,
n15-pengkalan-batu-melaka,,,,
n16-ayer-keroh-melaka,,,,
n17-bukit-katil-melaka,,,,
n18-ayer-molek-melaka,,,,
n19-kesidang-melaka,,,,
n20-kota-laksamana-melaka,,,,
n21-duyong-melaka,,,,
n22-bandar-hilir-melaka,,,,
n23-telok-mas-melaka,,,,
n24-bemban-melaka,,,,
n25-rim-melaka,,,,
n26-serkam-melaka,,,,
n27-merlimau-melaka,,,,
n28-sungai-rambai-melaka,,,,
n01-chennah-negeri-sembilan,,,,
n02-pertang-negeri-sembilan,,,,
n03-sungai-lui-negeri-sembilan,,,,
n04-klawang-negeri-sembilan,,,,
n05-serting-negeri-sembilan,,,,
n06-palong-negeri-sembilan,,,,
n07-jeram-padang-negeri-sembilan,,,,
n08-bahau-negeri-sembilan,,,,
n09-lenggeng-negeri-sembilan,,,,
n10-nilai-negeri-sembilan,,,,
n11-lobak-negeri-sembilan,,,,
n12-temiang-negeri-sembilan,,,,
n13-sikamat-negeri-sembilan,,,,
n14-ampangan-negeri-sembilan,,,,
n15-juasseh-negeri-sembilan,,,,
n16-seri-menanti-negeri-sembilan,,,,
n17-senaling-negeri-sembilan,,,,
n18-pilah-negeri-sembilan,,,,
n19-johol-negeri-sembilan,,,,
n20-labu-negeri-sembilan,,,,
n21-bukit-kepayang-negeri-sembilan,,,,
n22-rahang-negeri-sembilan,,,,
n23-mambau-negeri-sembilan,,,,
n24-seremban-jaya-negeri-sembilan,,,,
n25-paroi-negeri-sembilan,,,,
n26-chembong-negeri-sembilan,,,,
n27-rantau-negeri-sembilan,,,,
n28-kota-negeri-sembilan,,,,
n29-chuah-negeri-sembilan,,,,
n30-lukut-negeri-sembilan,,,,
n31-bagan-pinang-negeri-sembilan,,,,
n32-linggi-negeri-sembilan,,,,
n33-sri-tanjung-negeri-sembilan,,,,
n34-gemas-negeri-sembilan,,,,
n35-gemencheh-negeri-sembilan,,,,
n36-repah-negeri-sembilan,,,,
n01-tanah-rata-pahang,,,,
n02-jelai-pahang,,,,
n03-padang-tengku-pahang,,,,
n04-cheka-pahang,,,,
n05-benta-pahang,,,,
n06-batu-talam-pahang,,,,
n07-tras-pahang,,,,
n08-dong-pahang,,,,
n09-tahan-pahang,,,,
n10-damak-pahang,,,,
n11-pulau-tawar-pahang,,,,
n12-beserah-pahang,,,,
n13-semambu-pahang,,,,
n14-teruntum-pahang,,,,
n15-tanjung-lumpur-pahang,,,,
n16-inderapura-pahang,,,,
n17-sungai-lembing-pahang,,,,
n18-lepar-pahang,,,,
n19-panching-pahang,,,,
n20-pulau-manis-pahang,,,,
n21-peramu-jaya-pahang,,,,
n22-bebar-pahang,,,,
n23-chini-pahang,,,,
n24-luit-pahang,,,,
n25-kuala-sentul-pahang,,,,
n26-chenor-pahang,,,,
n27-jenderak-pahang,,,,
n28-kerdau-pahang,,,,
n29-jengka-pahang,,,,
n30-mentakab-pahang,,,,
n31-lanchang-pahang,,,,
n32-kuala-semantan-pahang,,,,
n33-bilut-pahang,,,,
n34-ketari-pahang,,,,
n35-sabai-pahang,,,,
n36-pelangai-pahang,,,,
n37-guai-pahang,,,,
n38-triang-pahang,,,,
n39-kemayan-pahang,,,,
n40-bukit-ibam-pahang,,,,
n41-muadzam-shah-pahang,,,,
n42-tioman-pahang,,,,
n01-pengkalan-hulu-perak,,,,
n02-temengor-perak,,,,
n03-kenering-perak,,,,
n04-kota-tampan-perak,,,,
n05-selama-perak,,,,
n06-kubu-gajah-perak,,,,
n07-batu-kurau-perak,,,,
n08-titi-serong-perak,,,,
n09-kuala-kurau-perak,,,,
n10-alor-pongsu-perak,,,,
n11-gunong-semanggol-perak,,,,
n12-selinsing-perak,,,,
n13-kuala-sepetang-perak,,,,
n14-changkat-jering-perak,,,,
n15-trong-perak,,,,
n16-kamunting-perak,,,,
n17-pokok-assam-perak,,,,
n18-aulong-perak,,,,
n19-chenderoh-perak,,,,
n20-lubok-merbau-perak,,,,
n21-lintang-perak,,,,
n22-jalong-perak,,,,
n23-manjoi-perak,,,,
n24-hulu-kinta-perak,,,,
n25-canning-perak,,,,
n26-tebing-tinggi-perak,,,,
n27-pasir-pinji-perak,,,,
n28-bercham-perak,,,,
n29-kepayang-perak,,,,
n30-buntong-perak,,,,
n31-jelapang-perak,,,,
n32-menglembu-perak,,,,
n33-tronoh-perak,,,,
n34-bukit-chandan-perak,,,,
n35-manong-perak,,,,
n36-pengkalan-baharu-perak,,,,
n37-pantai-remis-perak,,,,
n38-astaka-perak,,,,
n39-belanja-perak,,,,
n40-bota-perak,,,,
n41-malim-nawar-perak,,,,
n42-keranji-perak,,,,
n43-tualang-sekah-perak,,,,
n44-sungai-rapat-perak,,,,
n45-simpang-pulai-perak,,,,
n46-teja-perak,,,,
n47-chenderiang-perak,,,,
n48-ayer-kuning-perak,,,,
n49-sungai-manik-perak,,,,
n50-kampong-gajah-perak,,,,
n51-pasir-panjang-perak,,,,
n52-pangkor-perak,,,,
n53-rungkup-perak,,,,
n54-hutan-melintang-perak,,,,
n55-pasir-bedamar-perak,,,,
n56-changkat-jong-perak,,,,
n57-sungkai-perak,,,,
n58-slim-perak,,,,
n59-behrang-perak,,,,
n01-titi-tinggi-perlis,,,,
n02-beseri-perlis,,,,
n03-chuping-perlis,,,,
n04-mata-ayer-perlis,,,,
n05-santan-perlis,,,,
n06-bintong-perlis,,,,
n07-sena-perlis,,,,
n08-indera-kayangan-perlis,,,,
n09-kuala-perlis-perlis,,,,
n10-kayang-perlis,,,,
n11-pauh-perlis,,,,
n12-tambun-tulang-perlis,,,,
n13-guar-sanji-perlis,,,,
n14-simpang-empat-perlis,,,,
n15-sanglang-perlis,,,,
n01-penaga-pulau-pinang,,,,
n02-bertam-pulau-pinang,,,,
n03-pinang-tunggal-pulau-pinang,,,,
n04-permatang-berangan-pulau-pinang,,,,
n05-sungai-dua-pulau-pinang,,,,
n06-telok-ayer-tawar-pulau-pinang,,,,
n07-sungai-puyu-pulau-pinang,,,,
n08-bagan-jermal-pulau-pinang,,,,
n09-bagan-dalam-pulau-pinang,,,,
n10-seberang-jaya-pulau-pinang,,,,
n11-permatang-pasir-pulau-pinang,,,,
n12-penanti-pulau-pinang,,,,
n13-berapit-pulau-pinang,,,,
n14-machang-bubuk-pulau-pinang,,,,
n15-padang-lalang-pulau-pinang,,,,
n16-perai-pulau-pinang,,,,
n17-bukit-tengah-pulau-pinang,,,,
n18-bukit-tambun-pulau-pinang,,,,
n19-jawi-pulau-pinang,,,,
n20-sungai-bakap-pulau-pinang,,,,
n21-sungai-acheh-pulau-pinang,,,,
n22-tanjong-bunga-pulau-pinang,,,,
n23-air-putih-pulau-pinang,,,,
n24-kebun-bunga-pulau-pinang,,,,
n25-pulau-tikus-pulau-pinang,,,,
n26-padang-kota-pulau-pinang,,,,
n27-pengkalan-kota-pulau-pinang,,,,
n28-komtar-pulau-pinang,,,,
n29-datok-keramat-pulau-pinang,,,,
n30-sungai-pinang-pulau-pinang,,,,
n31-batu-lancang-pulau-pinang,,,,
n32-seri-delima-pulau-pinang,,,,
n33-air-itam-pulau-pinang,,,,
n34-paya-terubong-pulau-pinang,,,,
n35-batu-uban-pulau-pinang,,,,
n36-pantai-jerejak-pulau-pinang,,,,
n37-batu-maung-pulau-pinang,,,,
n38-bayan-lepas-pulau-pinang,,,,
n39-pulau-betong-pulau-pinang,,,,
n40-telok-bahang-pulau-pinang,,,,
n01-banggi-sabah,,,,
n02-bengkoka-sabah,,,,
n03-pitas-sabah,,,,
n04-tanjong-kapor-sabah,,,,
n05-matunggong-sabah,,,,
n06-bandau-sabah,,,,
n07-tandek-sabah,,,,
n08-pintasan-sabah,,,,
n09-tempasuk-sabah,,,,
n10-usukan-sabah,,,,
n11-kadamaian-sabah,,,,
n12-sulaman-sabah,,,,
n13-pantai-dalit-sabah,,,,
n14-tamparuli-sabah,,,,
n15-kiulu-sabah,,,,
n16-karambunai-sabah,,,,
n17-darau-sabah,,,,
n18-inanam-sabah,,,,
n19-likas-sabah,,,,
n20-apiapi-sabah,,,,
n21-luyang-sabah,,,,
n22-tanjung-aru-sabah,,,,
n23-petagas-sabah,,,,
n24-tanjung-keramat-sabah,,,,
n25-kapayan-sabah,,,,
n26-moyog-sabah,,,,
n27-limbahau-sabah,,,,
n28-kawang-sabah,,,,
n29-pantai-manis-sabah,,,,
n30-bongawan-sabah,,,,
n31-membakut-sabah,,,,
n32-klias-sabah,,,,
n33-kuala-penyu-sabah,,,,
n34-lumadan-sabah,,,,
n35-sindumin-sabah,,,,
n36-kundasang-sabah,,,,
n37-karanaan-sabah,,,,
n38-paginatan-sabah,,,,
n39-tambunan-sabah,,,,
n40-bingkor-sabah,,,,
n41-liawan-sabah,,,,
n42-melalap-sabah,,,,
n43-kemabong-sabah,,,,
n44-tulid-sabah,,,,
n45-sook-sabah,,,,
n46-nabawan-sabah,,,,
n47-telupid-sabah,,,,
n48-sugut-sabah,,,,
n49-labuk-sabah,,,,
n50-gumgum-sabah,,,,
n51-sungai-manila-sabah,,,,
n52-sungai-sibuga-sabah,,,,
n53-sekong-sabah,,,,
n54-karamunting-sabah,,,,
n55-elopura-sabah,,,,
n56-tanjong-papat-sabah,,,,
n57-kuamut-sabah,,,,
n58-lamag-sabah,,,,
n59-sukau-sabah,,,,
n60-tungku-sabah,,,,
n61-segama-sabah,,,,
n62-silam-sabah,,,,
n63-kunak-sabah,,,,
n64-sulabayan-sabah,,,,
n65-senallang-sabah,,,,
n66-bugaya-sabah,,,,
n67-balung-sabah,,,,
n68-apas-sabah,,,,
n69-sri-tanjong-sabah,,,,
n70-kukusan-sabah,,,,
n71-tanjung-batu-sabah,,,,
n72-merotai-sabah,,,,
n73-sebatik-sabah,,,,
n01-opar-sarawak,,,,
n02-tasik-biru-sarawak,,,,
n03-tanjong-datu-sarawak,,,,
n04-pantai-damai-sarawak,,,,
n05-demak-laut-sarawak,,,,
n06-tupong-sarawak,,,,
n07-samariang-sarawak,,,,
n08-satok-sarawak,,,,
n09-padungan-sarawak,,,,
n10-pending-sarawak,,,,
n11-batu-lintang-sarawak,,,,
n12-kota-sentosa-sarawak,,,,
n13-batu-kitang-sarawak,,,,
n14-batu-kawah-sarawak,,,,
n15-asajaya-sarawak,,,,
n16-muara-tuang-sarawak,,,,
n17-stakan-sarawak,,,,
n18-serembu-sarawak,,,,
n19-mambong-sarawak,,,,
n20-tarat-sarawak,,,,
n21-tebedu-sarawak,,,,
n22-kedup-sarawak,,,,
n23-bukit-semuja-sarawak,,,,
n24-sadong-jaya-sarawak,,,,
n25-simunjan-sarawak,,,,
n26-gedong-sarawak,,,,
n27-sebuyau-sarawak,,,,
n28-lingga-sarawak,,,,
n29-beting-maro-sarawak,,,,
